name,age_group,sex,year,population,total_inactive_population,total_unemployed_population,total_employed_population,Less than basic_inactive,Basic_inactive,Intermediate_inactive,Advanced_inactive,Level not stated_inactive,Less than basic_unemployment,Basic_unemployment,Intermediate_unemployment,Advanced_unemployment,Level not stated_unemployment
Kenya,15-24,female,2015,4742700.0,2652497.256,153399.97938216003,1936802.76461784,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,female,2016,4887980.0,2754914.4078,157228.264801062,1975837.327398938,47.88,51.74,60.87,60.76,67.41,133251.1233309456,1321644.3646042831,1198569.7442019463,94101.81875974232,7347.356903082255
Kenya,15-24,female,2017,5033260.0,2864226.9356,201806.836311776,1967226.228088224,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,female,2018,5178540.0,2975744.4402,246536.87905281605,1956258.6807471844,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,female,2019,5323820.0,3090104.8426,294291.97198745003,1939423.1854125496,68.38,68.03,56.99,31.24,47.56,246619.6044163913,1992582.199771196,777894.1239201921,55545.27390865317,17461.434742897363
Kenya,15-24,female,2020,5469100.0,3197017.0960000004,335700.24906599993,1936382.654934,218612029.02448,217493073.04088,182198004.30104,99874814.07904,152050133.08576003,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,female,2021,5604760.0,3272899.602,337256.96936273994,1994603.42863726,223800874.78476,222655359.92406,186522548.31798,102245383.56648,155659105.07112,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,female,2022,5740420.0,3336676.5292,344504.51423505606,2059238.956564944,228161941.066696,226994104.281476,190157195.399108,104237774.772208,158692335.728752,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,female,2023,5876080.0,3419643.5168,351786.268759072,2104650.2144409283,233835223.678784,232638348.447904,194885484.022432,106829663.464832,162638245.659008,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,female,2024,6011740.0,3504664.0678,358511.85830460006,2148564.0738954,239648928.956164,238422296.532434,199730805.223922,109485705.478072,166681823.064568,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,male,2015,4769000.0,2548362.84,162928.1484292,2057709.0115708,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,male,2016,4916300.0,2627516.535,168866.44404769997,2119917.0209523,26.97,49.2,57.07,67.36,54.79,109851.84190203244,1341061.948694068,1091896.951749034,78588.93285502773,6116.8597998378045
Kenya,15-24,male,2017,5063600.0,2773789.444,201457.53271688,2088353.02328312,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,male,2018,5210900.0,2925503.478,232859.05162658,2052537.47037342,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,male,2019,5358200.0,3083108.28,265616.95831,2009474.76169,54.49,66.21,46.86,23.63,84.21,368670.38803161663,1743407.949911143,917431.0012110554,49308.12172939934,4288.908689752093
Kenya,15-24,male,2020,5505500.0,3189336.15,298159.7724105,2018004.0775895,173786926.8135,211165946.4915,149452291.989,75364013.2245,268573997.19149995,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,male,2021,5645120.0,3276201.8432,295498.850879232,2073419.305920768,178520238.435968,216917324.038272,153522818.372352,77416649.554816,275888957.215872,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,male,2022,5784740.0,3317490.5426,305198.75788038,2162050.6995196203,180770059.666274,219651048.825546,155457606.82623598,78392301.52163799,279365878.59234595,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,male,2023,5924360.0,3390392.7408,314642.714574864,2219324.544625136,184742500.446192,224477903.368368,158873803.833888,80114980.465104,285504972.702768,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,15-24,male,2024,6063980.0,3468172.0814,322866.588915468,2272941.329684532,188980696.715486,229627673.509494,162518543.734404,81952906.283482,292054770.97469395,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,female,2015,4122072.64,595763.1586592,63226.72900044053,3463082.752340359,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,female,2016,4203120.512,600331.70272896,64381.836021673495,3538406.9732493665,32.51,9.25,11.23,10.8,31.72,91544.81723444937,299064.8336502603,186953.33334508352,18132.813161165795,4635.905338001013
Kenya,25-35,female,2017,4284168.384,592843.2209779199,84900.47874950783,3606424.684272572,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,female,2018,4365216.256,582319.8485504,105656.29666006734,3677240.110789533,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,female,2019,4446264.128,568588.25668864,128816.39244496336,3748859.478866397,37.62,18.54,20.77,15.18,49.68,144048.21069930168,310631.124832644,92341.53238910814,19928.678619247,1638.634523707196
Kenya,25-35,female,2020,4527312.0,617253.71808,140644.7964006624,3769413.4855193375,23221084.8741696,11443883.9332032,12820359.7245216,9369911.4404544,30665164.7142144,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Kenya,25-35,female,2021,4633654.368,576241.25720448,158198.5371899173,3899214.5736056026,21678196.096032538,10683512.90857106,11968530.91213705,8747342.284364006,28627665.657918565,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
